time,4kb_alloc,2mb_alloc,1gb_alloc,1gb_free,2mb_free,4kb_free
0,0,0,0,134217728,0,0
2000000,1996172,1955840,2097152,127926272,242176,116
4000000,3992237,3966464,4194304,121896960,167424,339
6000000,5988346,5953536,6815744,115343360,116736,6
8000000,7984450,7944704,8650752,109576192,61440,190
10000000,9980430,9999360,10485760,103546880,204800,498
12000000,11976628,11942400,12320768,97779712,198144,76
14000000,13972696,13952512,13893632,92274688,123904,296
16000000,15968802,15938560,15728640,86507520,73728,478
18000000,17964879,17914368,16777216,81526784,34304,177
20000000,19960599,19876352,17825792,76546048,8704,233
22000000,21950102,21831680,22020096,68157440,258048,362
24000000,23907840,23824896,23330816,62914560,239616,0
26000000,25753034,25653248,25690112,56885248,236032,54
28000000,27364202,27254784,26214400,53215232,164352,4758
30000000,28661874,28558336,28835840,47972352,188416,910
32000000,29582394,29484544,28573696,46399488,177152,454
34000000,30231599,30116864,29097984,44564480,166400,40401
36000000,30760737,30648320,29622272,42729472,314880,142047
38000000,30992633,30896128,31195136,40632320,198656,302855
40000000,31056570,30974464,31195136,40108032,249344,634182
42000000,31121749,31058944,30670848,39583744,761856,1020587
44000000,31182942,31156736,31195136,38797312,574464,1311138
46000000,31210222,31193088,31457280,38010880,605184,1741074
48000000,31273420,31252992,31195136,38010880,482816,2002484
50000000,31306080,31307776,30408704,37486592,1339392,2369184
52000000,31425125,31413760,29360128,38273024,1126912,2618779
54000000,31588749,31563264,29884416,37224448,1097216,2859635
56000000,31652730,31670272,29360128,36962304,1337856,3234438
58000000,31770994,31775232,29622272,36438016,1189888,3421326
60000000,31774693,31836672,30408704,35127296,1316352,3754011
62000000,31721220,31817728,30408704,34865152,1253888,4151036
64000000,31608689,31693824,31195136,33554432,1626624,4539023
66000000,31541571,31659008,30146560,34340864,1658368,4871357
68000000,31533366,31648256,31195136,32768000,1792512,5280458
70000000,31407802,31524352,31195136,32243712,2210304,5636422
72000000,31314301,31439872,31719424,31457280,2309120,5977731
74000000,31366480,31534592,31195136,31457280,2378752,6285488
76000000,31430784,31607808,30932992,31195136,2514432,6536576
78000000,31305343,31462400,31195136,30670848,2634752,6949249
80000000,31329375,31522304,30408704,31195136,2570240,7191969
82000000,31422134,31604736,29884416,31195136,2696192,7415114
84000000,31484255,31676416,30146560,30408704,2752000,7749793
86000000,31489931,31629312,30670848,29622272,2801664,8003701
88000000,31551655,31684096,30408704,29622272,2763264,8187737
90000000,31610127,31766528,30670848,28835840,2919936,8414449
92000000,31531091,31651328,31457280,28049408,2819072,8709549
94000000,31479034,31584256,30932992,28311552,2942976,8966918
