time,4kb_alloc,2mb_alloc,1gb_alloc,1gb_free,2mb_free,4kb_free
0,0,0,0,134217728,0,0
2000000,1996127,1978368,2359296,127664128,219648,161
4000000,3992261,3955200,3670016,122421248,178688,315
6000000,5988357,5950464,5505024,116654080,119296,507
8000000,7984421,7960576,8126464,110100480,45568,219
10000000,9980471,9979904,9699328,104333312,224256,457
12000000,11976500,12009984,11272192,98828288,130560,204
14000000,13972664,13970432,13107200,93061120,105984,328
16000000,15968655,16015872,15204352,86769664,259072,113
18000000,17964821,17946624,17039360,81264640,2048,235
20000000,19960277,19934208,18612224,75497472,213504,43
22000000,21950966,21941248,20971520,69206016,147968,10
24000000,23903965,23874048,24117248,62128128,194048,291
26000000,25731768,25719296,26476544,56098816,190976,328
28000000,27237769,27231744,29360128,50331648,56320,119
30000000,28293221,28275200,31457280,46137344,54272,411
32000000,28903571,28868096,32505856,43778048,155136,7021
34000000,29328440,29343232,32243712,43253760,4096,44488
36000000,29728026,29755392,31981568,42467328,196608,88806
38000000,29981383,29983744,31719424,42205184,64512,263481
40000000,30236852,30228992,31719424,41418752,214528,399180
42000000,30361880,30383104,31981568,40632320,230400,628456
44000000,30576703,30583808,31719424,40370176,190464,777153
46000000,30530090,30544896,33030144,38797312,178176,1137110
48000000,30562586,30638592,32768000,38797312,38912,1412326
50000000,30453689,30563328,33816576,37486592,95232,1802311
52000000,30325886,30462976,33554432,37486592,186368,2201474
54000000,30284950,30451200,32768000,38010880,184832,2517866
56000000,30167737,30288384,35127296,35651584,77312,2905415
58000000,29900953,29996544,35127296,35651584,145920,3395431
60000000,29760728,29802496,35127296,35651584,87552,3788072
62000000,29633547,29644288,35651584,34865152,263680,4159477
64000000,29495914,29492224,35651584,34865152,184832,4528022
66000000,29368689,29351424,35651584,34865152,92672,4888207
68000000,29360650,29334016,34865152,35389440,130560,5137910
70000000,29424949,29399040,34865152,35127296,86528,5314763
72000000,29470111,29468160,34078720,35651584,50176,5498977
74000000,29670919,29736960,33292288,35913728,84992,5518841
76000000,29735664,29811200,33816576,35127296,37888,5689104
78000000,29803822,29858816,33554432,35127296,22528,5850834
80000000,29866934,29893632,34078720,34340864,28160,6009418
82000000,29932544,29908992,33030144,35127296,49152,6169600
84000000,29994506,29968896,32768000,35127296,50176,6308854
86000000,30079631,30053888,32505856,35127296,12800,6438257
88000000,30256496,30259712,32243712,34865152,133632,6459024
90000000,30376149,30384640,31981568,34865152,59392,6550827
92000000,30558332,30531072,31195136,35127296,244224,6561668
94000000,30655145,30590464,31457280,34603008,242688,6669143
96000000,30837688,30790144,30670848,35127296,126976,6664776
98000000,30873788,30840832,32505856,33030144,162816,6804292
100000000,30870461,30926336,31981568,33292288,182784,6964291
102000000,30809622,30817280,32505856,32768000,150016,7166954
104000000,30724101,30705664,32768000,32505856,128512,7385595
106000000,30624011,30609408,33292288,31981568,93184,7617269
108000000,30494427,30520320,33816576,31457280,57344,7871781
110000000,30364675,30349312,33292288,31981568,100352,8129533
112000000,30406407,30363648,32768000,32243712,210432,8225529
114000000,30471713,30425088,32768000,32243712,9216,8299999
116000000,30511643,30393344,32243712,32505856,161792,8401381
118000000,30575523,30451712,32243712,32243712,223232,8479837
120000000,30670175,30498816,31719424,32768000,41984,8519329
122000000,30733338,30536704,31457280,32768000,133120,8589286
124000000,30977120,30842880,30408704,33292288,219136,8477600
126000000,31233191,31102976,29622272,33816576,73728,8368985
128000000,31313164,31127040,31195136,31981568,180224,8420596
130000000,31350130,31134720,31457280,31719424,44544,8511630
132000000,31320935,31128576,31719424,31195136,217088,8636569
134000000,31261362,31101952,31457280,31457280,146432,8793422
136000000,31167234,30981120,31981568,30932992,180736,8974078
138000000,31180729,31002112,31457280,31457280,64512,9055815
140000000,31145990,30984704,31719424,30932992,254464,9180154
142000000,31164125,30983680,31457280,31195136,166400,9251107
144000000,31138966,30977024,31981568,30670848,69120,9380202
146000000,31068149,30922752,31719424,30932992,44544,9529867
148000000,31082663,30926336,31457280,30932992,218624,9599833
150000000,31073209,30906880,31981568,30408704,147968,9699399
152000000,31132461,30952448,31195136,31195136,12288,9730259
154000000,31196112,31078912,31195136,30932992,52736,9761840
156000000,31260881,31181312,30932992,30932992,114176,9795375
158000000,31322255,31252480,31195136,30408704,219136,9820017
160000000,31302749,31195648,31981568,29622272,190976,9924515
162000000,31130205,31021056,32768000,28835840,311808,10150819
164000000,31002994,30860288,32505856,29097984,409600,10341006
166000000,30996759,30855168,31719424,29884416,353792,10408169
168000000,31047101,30906368,30670848,30932992,233984,10426435
170000000,31229971,31104000,30670848,30670848,227840,10314221
172000000,31368431,31197696,29884416,31457280,51712,10258193
174000000,31439934,31287808,30670848,30408704,145920,10264514
176000000,31474224,31306240,30670848,30408704,57856,10299856
178000000,31505654,31340032,31195136,29622272,211456,10343178
180000000,31366442,31216640,32505856,28311552,286720,10530518
182000000,31222858,31042048,32243712,28573696,415744,10719670
184000000,31211414,31013376,31719424,29097984,391680,10783850
186000000,31144604,30979584,32243712,28573696,382976,10893156
188000000,31018035,30848512,33030144,27787264,471040,11062733
190000000,30890726,30704128,32768000,28049408,566272,11239194
192000000,30856025,30565376,32768000,28049408,657408,11321511
194000000,30812232,30540800,31981568,28835840,639488,11407800
196000000,30875921,30618624,32243712,28573696,507904,11397871
198000000,30815910,30585856,33030144,27787264,493568,11504986
200000000,30703083,30478336,32768000,28049408,571392,11647509
202000000,30760353,30561792,31457280,29360128,440832,11637343
204000000,30960211,30700544,30670848,30146560,260096,11479469
206000000,31047228,30817280,29884416,30932992,98816,11436996
208000000,31230246,31020032,30408704,30146560,108032,11304154
210000000,31350271,31184384,30408704,29884416,151040,11238913
212000000,31465750,31324160,30408704,29622272,224768,11172074
214000000,31529817,31428608,30670848,29360128,73728,11154599
216000000,31592453,31527424,30932992,28835840,189440,11139579
218000000,31618009,31559680,30670848,29097984,114688,11156519
220000000,31677005,31663104,30146560,29360128,226304,11144627
222000000,31740233,31803904,29884416,29622272,47104,11119799
224000000,31803837,31862784,29097984,30146560,202240,11104323
226000000,31905318,31985152,29097984,30146560,30720,11051994
228000000,32066136,32137216,27787264,31195136,88064,10943912
230000000,32166714,32268800,29097984,29622272,171008,10890950
232000000,32228460,32321024,28573696,30146560,71168,10876820
234000000,32298429,32389632,27787264,30670848,215040,10856515
236000000,32470576,32588800,28311552,29884416,222208,10740176
238000000,32459347,32605184,28573696,29622272,167424,10789805
240000000,32521565,32640512,28311552,29884416,97792,10761891
242000000,32583478,32718848,27787264,30146560,237056,10744522
244000000,32713122,32800256,27525120,30408704,104960,10665566
246000000,32774389,32887808,28049408,29622272,237568,10646283
248000000,32759769,32888320,28311552,29360128,206848,10691111
250000000,32789507,32844800,27525120,30146560,211968,10699773
252000000,32852485,32879104,27262976,30408704,135168,10679291
254000000,32917688,32924672,27262976,30408704,41984,10661704
256000000,32978775,33014272,27262976,30146560,170496,10644649
258000000,33036564,33127424,27787264,29622272,12288,10631916
260000000,33044769,33119744,27787264,29360128,251904,10653919
262000000,33017768,33070592,28049408,29097984,275968,10706008
264000000,32960419,33025536,27787264,29360128,304128,10780253
266000000,32968938,33055232,28049408,29097984,247296,10798870
268000000,32882868,32979456,29097984,28049408,301568,10906444
270000000,32865684,32953344,27787264,29360128,312320,10938988
272000000,32928191,33073664,27262976,29884416,166400,10902081
274000000,32991134,33105920,27262976,29884416,106496,10866786
276000000,33057151,33132032,27262976,29884416,46080,10835073
278000000,33165559,33230336,26214400,30670848,181760,10754825
280000000,33228267,33340928,26738688,30146560,35840,10727445
282000000,33297517,33398784,25952256,30670848,204288,10694035
284000000,33370256,33497088,25690112,30932992,70656,10656624
286000000,33545402,33679360,25165824,31195136,112640,10519366
288000000,33799394,33949696,24641536,31457280,53248,10316574
290000000,33884471,33979392,24903680,30932992,256000,10261193
292000000,33908780,34018816,25952256,29884416,191488,10261972
294000000,33971163,34082304,25165824,30670848,97280,10230309
296000000,33986948,34083840,25165824,30670848,74240,10236028
298000000,34049367,34182656,24641536,30932992,202240,10208937
300000000,34287008,34396160,23068672,32243712,211456,10010720
302000000,34566607,34658816,22020096,33030144,162816,9779249
304000000,34833400,34937856,22544384,32243712,97280,9561096
306000000,34979050,35062272,22282240,32243712,190464,9459990
308000000,35155851,35220992,22544384,31719424,248320,9328757
310000000,35310711,35381760,22020096,32243712,40960,9220489
312000000,35413917,35518464,21757952,32243712,122880,9160803
314000000,35530598,35598336,21495808,32243712,257536,9091738
316000000,35695609,35684352,21757952,31981568,119296,8978951
318000000,35682698,35670528,22806528,30932992,103936,9021046
320000000,35578810,35568128,22806528,30932992,194048,9137222
322000000,35464060,35447296,22806528,30932992,311808,9255044
324000000,35420480,35402240,22806528,30932992,352256,9303232
326000000,35316738,35266560,24117248,29622272,479744,9415166
328000000,35290301,35250688,23068672,30670848,487424,9449795
330000000,35358012,35317248,22282240,31457280,406528,9396420
332000000,35422228,35371520,22806528,30932992,335872,9348588
334000000,35419615,35421184,22806528,30932992,272384,9365025
336000000,35386688,35393536,24117248,29622272,289280,9408704
338000000,35259476,35246080,24117248,29622272,437248,9535404
340000000,35132132,35161088,24641536,29097984,522240,9662748
342000000,35004535,35063296,24641536,29097984,623104,9787273
344000000,34972025,35002368,23330816,30408704,688640,9815175
346000000,35093113,35120128,22282240,31457280,567296,9697671
348000000,35171571,35261440,22806528,30932992,419840,9625357
350000000,35301354,35375104,22544384,31195136,294400,9507350
352000000,35365912,35411968,22020096,31719424,246784,9453544
354000000,35440550,35478528,21495808,32243712,169472,9389658
356000000,35520393,35560960,22544384,31195136,78336,9318519
358000000,35585539,35601920,21495808,32243712,33792,9256957
360000000,35654825,35627520,22020096,31457280,259072,9198935
362000000,35716823,35669504,22020096,31457280,211456,9142569
364000000,35780949,35715072,21757952,31719424,155136,9089195
366000000,35845477,35809280,21233664,32243712,60416,9025179
368000000,35957244,35912704,20447232,32768000,224768,8907780
370000000,36075199,36110848,21495808,31719424,17920,8798529
372000000,36141225,36167680,20709376,32243712,227328,8728407
374000000,36153761,36247552,21757952,31195136,157696,8705631
376000000,36174504,36280320,20971520,31981568,154112,8655704
378000000,36165708,36284416,21495808,31457280,176640,8637876
380000000,36204071,36355072,21233664,31719424,122368,8583129
382000000,36267051,36421120,20447232,32505856,64000,8512469
384000000,36331863,36497920,19922944,33030144,1024,8433833
386000000,36535875,36738560,20447232,32243712,24576,8227773
388000000,36598042,36805120,19660800,32768000,237568,8148198
390000000,36661589,36837888,19922944,32505856,227328,8062123
392000000,36656114,36818432,20709376,31719424,276992,8037390
394000000,36629539,36825088,21233664,31195136,313344,8020957
396000000,36505180,36711424,22020096,30408704,476160,8096164
398000000,36395278,36584448,20971520,31457280,665088,8144114
400000000,36456244,36636672,20447232,31981568,664064,8031948
402000000,36519403,36762624,20185088,32243712,582144,7924757
404000000,36580585,36857344,19398656,33030144,520704,7830295
406000000,36642758,36936704,19922944,32505856,483328,7726138
408000000,36594879,36904448,20971520,31457280,575488,7714113
410000000,36469634,36773376,20709376,31719424,768512,7777406
412000000,36499765,36841984,19922944,32505856,767488,7679691
414000000,36559596,36883456,19922944,32505856,780288,7565588
416000000,36622642,36934144,19660800,32768000,782848,7449294
418000000,36688881,37021184,19398656,33030144,748544,7330319
420000000,36738701,37011456,20185088,32243712,802816,7235955
422000000,36678116,36972544,20447232,31981568,913920,7224348
424000000,36739957,37017600,20185088,32243712,934400,7096971
426000000,36758711,37002752,20447232,31981568,1008640,7018825
428000000,36779470,37080064,19398656,33030144,1007104,6922290
430000000,36842235,37117952,19136512,33292288,1022976,6805765
432000000,36887984,37191168,19660800,32768000,1018880,6690896
434000000,36819231,37130240,20709376,31719424,1161216,6678241
436000000,36693016,37069312,21233664,31195136,1298432,6728168
438000000,36566687,36982784,21233664,31195136,1465344,6774113
440000000,36440925,36886528,21233664,31195136,1658880,6802595
442000000,36440557,36881920,19922944,32505856,1745920,6720531
444000000,36504552,36972544,19922944,32505856,1731584,6580248
446000000,36568003,37051904,19922944,32505856,1732096,6436925
448000000,36474066,36922880,21233664,31195136,1952768,6439214
450000000,36346917,36817920,21233664,31195136,2153984,6470107
452000000,36220755,36689408,21495808,30932992,2390016,6488749
454000000,36124831,36587520,21233664,31195136,2574848,6501729
456000000,36186231,36661248,20709376,31719424,2585088,6356361
458000000,36241882,36734464,20185088,32243712,2593792,6218790
460000000,36392685,36830720,19398656,33030144,2551808,6013715
462000000,36543529,36945920,18612224,33816576,2499072,5800407
464000000,36720375,37076480,19922944,32505856,2430464,5561609
