time,4kb_alloc,2mb_alloc,1gb_alloc,1gb_free,2mb_free,4kb_free
0,0,0,0,134217728,0,0
2000000,1996127,1978368,2359296,127664128,219648,161
4000000,3992261,3955200,3670016,122421248,178688,315
6000000,5988357,5950464,5505024,116654080,119296,507
8000000,7984421,7960576,8126464,110100480,45568,219
10000000,9980471,9979904,9699328,104333312,224256,457
12000000,11976500,12009984,11272192,98828288,130560,204
14000000,13972664,13970432,13107200,93061120,105984,328
16000000,15968713,15988736,14417920,87818240,24064,55
18000000,17964851,17949696,15990784,82051072,261120,205
20000000,19960495,19951104,17825792,76283904,196096,337
22000000,21951953,21906432,20185088,69992448,181760,47
24000000,23922649,23852544,22020096,64225280,197120,39
26000000,25792751,25708032,25690112,56885248,141312,273
28000000,27396582,27260928,26738688,52690944,130560,26
30000000,28680097,28565504,28573696,48234496,163840,95
32000000,29584095,29412352,29622272,45350912,247808,289
34000000,30112172,29961216,30408704,43515904,219648,84
36000000,30554319,30426624,29884416,43253760,98304,305
38000000,30838588,30733312,30408704,42205184,31744,196
40000000,31107273,30954496,29622272,42467328,66048,311
42000000,31323767,31174144,30408704,41156608,154112,393
44000000,31388452,31256064,30670848,40894464,7680,220
46000000,31379122,31184896,30932992,40632320,88064,334
48000000,31479842,31297536,29884416,41418752,136704,478
50000000,31579900,31475200,29622272,41418752,121344,260
52000000,31582191,31544832,30932992,40108032,49664,17
54000000,31636817,31602176,30408704,40370176,199680,175
56000000,31588941,31536640,31457280,39583744,50688,435
58000000,31463390,31392256,31719424,39583744,58880,34
60000000,31209062,31127552,33554432,38273024,53248,410
62000000,31039797,30976512,32505856,39583744,111616,203
64000000,30911594,30846976,32505856,39845888,107008,406
66000000,30869025,30815232,31719424,40632320,181248,479
68000000,30932373,30848000,31195136,41156608,85504,107
70000000,30995470,30905856,31719424,40370176,226304,498
72000000,31008109,30898176,32243712,39845888,221696,147
74000000,30912144,30807552,31195136,41156608,145920,368
76000000,30901922,30820864,32243712,40108032,142848,350
78000000,30906909,30805504,32505856,39845888,153088,483
80000000,30856109,30774272,32243712,40108032,235520,83
82000000,30733739,30660608,33292288,39321600,209408,85
84000000,30585170,30511104,33554432,39321600,245248,174
86000000,30457468,30428160,33554432,39583744,193536,388
88000000,30333355,30306304,33816576,39583744,177664,85
90000000,30323774,30269952,33292288,40108032,223232,450
92000000,30225451,30151168,34078720,39583744,178176,469
94000000,30246723,30179328,32768000,40894464,129024,189
96000000,30310276,30298624,33292288,40108032,208384,124
98000000,30371405,30387200,32768000,40632320,58368,435
100000000,30482928,30496768,31457280,41680896,99840,16
102000000,30700065,30744576,31719424,40894464,158720,479
104000000,30756116,30830080,32243712,40370176,17408,236
106000000,30815405,30893056,32243712,40108032,157184,339
108000000,30718701,30792192,33030144,39583744,92672,275
110000000,30596071,30751232,33030144,39583744,256512,25
112000000,30508505,30672896,32768000,40108032,160256,39
114000000,30508920,30651392,33030144,39845888,181248,136
116000000,30380721,30534144,33554432,39583744,164352,335
118000000,30252344,30448128,33816576,39583744,116736,200
120000000,30058873,30216192,35389440,38535168,17920,135
122000000,29746554,29919744,35913728,38535168,102400,134
124000000,29531534,29716480,35651584,39059456,258560,114
126000000,29388989,29598208,36175872,38797312,257024,323
128000000,29290983,29496832,35127296,40108032,194560,25
130000000,29341559,29592064,34078720,41156608,48640,137
132000000,29403166,29706752,34340864,40632320,134144,482
134000000,29459031,29709824,34078720,40894464,75264,425
136000000,29522236,29750784,33816576,40894464,233472,196
138000000,29586307,29824512,34078720,40632320,95744,125
140000000,29634488,29889536,34078720,40370176,244736,72
142000000,29498320,29746688,36438016,38273024,261632,48
144000000,29332519,29601792,35389440,39845888,47616,473
146000000,29241547,29488128,35389440,39845888,252416,309
148000000,29145168,29412864,35389440,40108032,161792,432
150000000,29075254,29331456,36175872,39583744,51200,202
152000000,28947182,29240320,36175872,39845888,8192,274
154000000,28820319,29159424,36962304,39059456,216064,161
156000000,28706429,29031424,36438016,39845888,195584,387
158000000,28755231,29108736,35651584,40632320,69632,225
160000000,28819351,29162496,35389440,40632320,214016,105
162000000,28871614,29190144,35651584,40370176,134144,66
164000000,28934376,29215232,35389440,40632320,46080,280
166000000,28999289,29298176,35127296,40632320,160256,391
168000000,28967283,29250048,36175872,39583744,240640,141
170000000,28811406,29091840,37224448,39059456,30208,370
172000000,28683903,28972544,36700160,39845888,14848,385
174000000,28564490,28861440,36700160,39845888,245248,502
176000000,28439057,28750336,36700160,40108032,219648,495
178000000,28431289,28725248,37486592,39321600,252928,71
180000000,28295808,28590592,38535168,38535168,260608,384
182000000,28043321,28317184,38797312,39059456,0,455
184000000,27922891,28205568,38273024,39583744,232448,53
186000000,27890149,28235776,36962304,40894464,235008,27
188000000,28038371,28398080,36175872,41418752,186368,285
190000000,28104845,28454912,36438016,41156608,62976,371
192000000,28168699,28453376,36700160,40894464,1024,5
194000000,28230465,28495872,36438016,40894464,158720,191
196000000,28293355,28484608,36438016,40894464,107008,277
198000000,28357308,28590080,36700160,40370176,199680,324
200000000,28321975,28539392,38273024,39059456,23552,329
202000000,28085783,28297216,39059456,38535168,239616,489
204000000,27916999,28167168,38535168,39583744,14336,313
206000000,27789660,28051968,39059456,39059456,257024,164
208000000,27587229,27853312,40370176,38273024,133632,355
210000000,27388119,27584000,39845888,39321600,77824,297
212000000,27303071,27412480,39059456,40370176,72192,353
214000000,27319515,27483136,39583744,39583744,247296,293
216000000,27222600,27408384,39321600,40108032,156672,440
218000000,27221320,27400192,39321600,40108032,166400,184
220000000,27142967,27294208,40370176,39321600,88576,201
222000000,27018074,27163648,39845888,40108032,81920,166
224000000,26898655,27059200,39583744,40632320,43520,289
226000000,26963382,27111424,39845888,40108032,188928,74
228000000,27021531,27145728,39321600,40632320,96256,293
230000000,27084905,27249664,38535168,41156608,190976,407
232000000,27150042,27303936,38273024,41418752,71680,294
234000000,27212958,27380736,39321600,40108032,194048,354
236000000,27158818,27349504,39059456,40632320,17408,222
238000000,27231042,27394048,38273024,41156608,162816,190
240000000,27348758,27544576,37748736,41418752,156672,234
242000000,27419972,27605504,38535168,40632320,24576,188
244000000,27482872,27638272,38010880,40894464,190976,264
246000000,27547939,27713536,37486592,41418752,50688,221
248000000,27610543,27784704,38273024,40370176,179200,81
250000000,27674251,27844608,37486592,41156608,55296,373
252000000,27826745,27969024,37224448,41156608,40448,455
254000000,27889038,28080128,36700160,41418752,129536,114
256000000,28040913,28193792,36962304,40894464,125952,303
258000000,28104372,28263424,36700160,40894464,254976,332
260000000,28201322,28317184,36438016,41156608,104448,150
262000000,28264301,28405760,36962304,40370176,215040,147
264000000,28328512,28503552,35913728,41418752,52736,448
266000000,28373918,28527616,37224448,39845888,245760,98
268000000,28269873,28476928,37224448,40108032,138240,207
270000000,28176990,28398592,37748736,39845888,47104,418
272000000,28168756,28397568,37224448,40370176,56320,460
274000000,28239119,28472320,35913728,41418752,173568,241
276000000,28321490,28560896,35389440,41943040,2560,302
278000000,28556467,28798464,35651584,41156608,54272,333
280000000,28727462,28967424,34865152,41418752,238592,346
282000000,28969025,29223424,34603008,41418752,3072,447
284000000,29033433,29345280,35127296,40632320,79360,39
286000000,29057478,29392384,35389440,40370176,8192,58
288000000,29128568,29484544,34340864,41156608,107008,136
290000000,29192222,29543936,34865152,40370176,245760,482
292000000,29137224,29489152,36175872,39321600,93696,184
294000000,29012078,29367808,35913728,39845888,77824,402
296000000,28980487,29345280,35651584,40108032,132096,249
298000000,28882511,29271040,35913728,40108032,41984,433
300000000,28936202,29333504,34603008,41156608,187904,502
302000000,29006115,29370368,34340864,41418752,81408,221
304000000,29046004,29418496,36175872,39321600,255488,268
306000000,29070651,29427200,35127296,40370176,222208,197
308000000,29105622,29478912,35127296,40370176,135680,42
310000000,29093069,29468672,35389440,40108032,158208,307
312000000,28912508,29303808,37748736,38010880,241664,132
314000000,28781512,29185536,36438016,39583744,228864,56
316000000,28737466,29219840,36175872,39845888,238592,70
318000000,28764527,29193216,35389440,40632320,238080,145
320000000,28804937,29263360,35127296,40894464,127488,183
322000000,28775454,29279232,36175872,39845888,140800,482
324000000,28651239,29187584,37224448,39059456,94720,281
326000000,28503640,29022208,37748736,38797312,145408,424
328000000,28378276,28893184,37224448,39583744,137728,348
330000000,28397248,28957184,36438016,40370176,54784,320
332000000,28479964,29020672,34865152,41680896,171008,36
334000000,28734375,29316608,34078720,41943040,144896,89
336000000,28989316,29533696,32768000,42729472,197120,124
338000000,29235081,29770240,33554432,41418752,239104,119
340000000,29457177,29998592,33030144,41680896,50688,231
342000000,29523016,30053888,33292288,41156608,191488,440
344000000,29688781,30203392,32505856,41680896,138752,51
346000000,29996808,30481408,31457280,42205184,76800,248
348000000,30254225,30778368,31195136,41943040,46592,367
350000000,30356397,30885376,31981568,40894464,99840,83
352000000,30494388,31044096,30670848,41943040,65024,332
354000000,30618658,31159808,31195136,41156608,87040,478
356000000,30682345,31208448,31719424,40370176,237056,279
358000000,30746392,31299584,31457280,40632320,81920,232
360000000,30740033,31297024,32505856,39583744,90624,447
362000000,30616440,31149056,32505856,39845888,100352,136
364000000,30638154,31224320,32243712,40108032,3072,438
366000000,30535838,31073280,31981568,40370176,256512,354
368000000,30601482,31176192,31719424,40632320,88064,246
370000000,30559320,31147520,32768000,39583744,158720,424
372000000,30433835,31031808,32505856,40108032,137728,469
374000000,30462316,31100928,31457280,41156608,40448,148
376000000,30524076,31141888,32505856,39845888,199680,340
378000000,30422857,31058944,33292288,39321600,121856,183
380000000,30297224,30967808,33030144,39845888,76288,376
382000000,30169671,30858240,33816576,39321600,51200,441
384000000,30002263,30693888,34603008,38797312,120832,425
386000000,29785716,30473216,35127296,38797312,33792,396
388000000,29541679,30261760,35127296,39059456,227328,209
390000000,29528660,30240768,34078720,40108032,261120,428
392000000,29590443,30244864,33292288,40894464,195584,85
394000000,29652181,30307840,33030144,41156608,70656,299
396000000,29643729,30341120,33292288,40894464,46080,47
398000000,29623293,30326272,34603008,39583744,81408,3
400000000,29495492,30146048,34340864,40108032,126976,316
402000000,29511278,30146560,33554432,40894464,110592,402
404000000,29573932,30218240,33554432,40632320,238592,212
406000000,29622998,30320128,33816576,40370176,87552,298
408000000,29685751,30425088,33292288,40632320,182272,9
410000000,29747359,30441472,33292288,40632320,103936,353
412000000,29810389,30480384,32768000,41156608,2048,299
414000000,29875859,30571520,32243712,41418752,107520,365
416000000,30122315,30838272,31457280,41680896,118784,181
418000000,30291074,30982144,31457280,41418752,68096,382
420000000,30353694,31052800,31981568,40632320,197120,226
422000000,30416413,31062016,31719424,40894464,124928,483
424000000,30475680,31147520,31719424,40632320,242688,96
426000000,30540831,31142400,31981568,40370176,182272,481
428000000,30546772,31181824,31981568,40370176,137216,172
430000000,30564751,31199232,31719424,40632320,101888,113
432000000,30636056,31203840,31195136,41156608,25600,488
434000000,30583166,31134208,32768000,39583744,148480,130
436000000,30591318,31122944,31195136,41156608,151552,170
438000000,30758806,31285248,30408704,41680896,83968,106
440000000,30858254,31387136,30670848,41156608,144384,498
442000000,31024519,31550464,30146560,41418752,77312,121
444000000,31174012,31707648,29622272,41680896,32768,132
446000000,31372323,31902720,29622272,41156608,163328,477
448000000,31320249,31927808,30932992,39845888,190464,327
450000000,31313936,31900160,30146560,40632320,224256,496
452000000,31375251,31974912,29884416,40894464,88576,109
454000000,31444498,32025600,28835840,41680896,230400,494
456000000,31531016,32140800,29097984,41418752,28672,504
458000000,31779605,32466432,26738688,42991616,241152,235
460000000,32143414,32873472,27262976,41680896,256512,458
462000000,32325586,33020928,27262976,41418752,189440,46
464000000,32406550,33093632,27262976,41418752,35328,490
466000000,32469740,33170944,27000832,41418752,157184,276
468000000,32542788,33205760,27525120,40894464,49152,444
470000000,32607059,33294848,27787264,40370176,158208,173
472000000,32567240,33209856,28573696,39845888,20992,56
474000000,32462329,33099264,28835840,39583744,236544,7
476000000,32381597,33088000,27787264,40894464,66048,355
478000000,32338514,33038336,28835840,39845888,158720,430
480000000,32335146,33034240,28311552,40370176,166400,214
482000000,32399465,33089536,27525120,41156608,46592,407
484000000,32462180,33171456,27262976,41156608,164352,156
486000000,32481716,33169920,28573696,39845888,146432,76
488000000,32430041,33119744,28311552,40108032,248320,39
490000000,32435795,33074176,29097984,39583744,25600,429
492000000,32369112,33004032,28573696,40108032,162816,40
494000000,32334881,32943616,29360128,39321600,257024,479
496000000,32282103,32915456,28573696,40370176,76288,9
498000000,32270974,32863744,28573696,40370176,138752,386
500000000,32307665,32886272,28311552,40632320,79872,47
